23,high
24,high
24,high
22,ok
1,ok
22,high
2,high
17,ok
23,ok
24,ok
24,ok
27,ok
22,ok
22,low
25,ok
22,low
22,high
24,high
26,ok
22,ok
10,high
24,ok
17,high
22,ok
24,ok
10,high
24,high
24,high
24,ok
23,high
24,high
17,low
24,ok
1,ok
24,high
24,ok
10,ok
26,high
24,ok
25,high
24,low
22,ok
1,high
23,high
22,ok
1,ok
25,low
17,ok
24,ok
22,ok
24,ok
24,ok
20,ok
24,ok
23,high
24,ok
26,high
20,ok
2,ok
24,ok
22,high
24,low
17,ok
26,low
23,ok
22,low
20,ok
1,ok
23,ok
24,low
24,low
17,high
20,low
24,high
20,ok
20,low
20,low
24,high
1,low
24,high
22,high
1,low
25,low
17,ok
22,ok
24,high
22,low
22,ok
28,high
25,low
24,low
22,low
22,low
24,ok
22,high
24,ok
24,low
2,low
24,low
20,low
24,ok
1,ok
24,ok
25,low
28,high
24,ok
10,ok
24,low
24,ok
20,ok
17,ok
17,ok
1,ok
24,low
24,low
23,high
22,low
24,low
28,ok
23,high
24,low
25,low
20,low
24,ok
2,ok
26,low
24,ok
22,ok
25,low
22,ok
22,ok
24,low
24,low
22,ok
24,ok
24,ok
1,ok
20,ok
24,low
22,low
22,low
24,high
22,low
22,high
24,high
23,high
25,low
23,high
28,high
26,high
25,ok
1,high
26,high
24,ok
24,ok
23,high
2,high
22,ok
17,high
23,high
24,low
24,high
23,high
1,high
23,high
24,high
24,high
24,high
23,high
24,low
22,ok
22,high
20,ok
1,ok
28,high
22,ok
22,ok
1,ok
23,high
25,ok
24,low
25,low
2,ok
24,ok
24,low
22,ok
2,low
1,ok
1,high
22,ok
27,ok
24,ok
24,low
24,high
23,ok
25,ok
17,ok
23,high
27,ok
22,high
24,ok
10,low
24,ok
24,low
24,low
24,low
22,low
24,low
2,low
24,high
29,high
22,ok
24,ok
15,ok
1,low
17,ok
23,low
25,low
22,low
1,low
20,low
23,high
24,ok
2,ok
24,ok
24,high
22,high
22,low
24,low
27,low
17,high
10,low
24,ok
24,high
22,ok
22,low
17,low
20,ok
23,low
27,low
22,ok
22,low
24,low
22,ok
24,ok
26,low
22,high
25,low
43,high
22,low
22,low
24,low
24,ok
22,ok
22,low
28,low
22,low
22,high
22,low
22,ok
22,low
10,ok
22,ok
1,ok
22,ok
10,low
28,ok
24,low
24,low
24,ok
24,ok
1,ok
24,ok
22,low
22,ok
24,ok
24,low
25,low
22,low
1,ok
27,low
24,ok
22,high
25,low
25,low
23,low
24,ok
24,low
22,low
20,ok
1,ok
24,ok
24,low
24,low
24,high
17,ok
22,ok
24,ok
1,low
26,low
10,ok
20,ok
24,high
17,high
24,ok
1,high
28,high
24,low
25,low
26,high
24,high
17,high
1,ok
24,ok
24,ok
17,high
22,ok
26,ok
2,high
24,high
22,low
22,ok
23,high
23,high
24,high
10,ok
1,ok
23,high
20,low
22,high
24,high
43,high
25,low
1,high
24,low
24,low
24,high
17,high
25,low
24,low
22,ok
28,low
10,ok
23,high
27,high
1,low
22,low
25,low
24,low
2,low
1,high
23,ok
20,ok
25,low
24,ok
22,low
24,ok
24,ok
2,ok
26,low
24,high
26,high
24,high
24,ok
22,ok
28,low
1,high
20,ok
23,high
1,high
10,low
17,high
22,low
25,low
24,low
24,ok
24,low
22,ok
22,low
27,low
24,low
20,ok
24,low
22,high
10,low
